ball_id,colour
10801,white
12261,white
2369,white
5273,white
9290,white
1252,red
8826,white
10289,white
13440,white
13615,white
12103,white
356,red
13913,white
12453,white
7700,white
3954,white
10095,white
9091,white
12889,white
5403,white
932,red
9189,white
10207,white
12909,white
5637,white
4002,white
9052,white
12136,white
259,red
5434,white
481,red
13610,white
10264,white
7326,white
8491,white
12175,white
2454,white
11912,white
13604,white
9028,white
9174,white
7789,white
5468,white
6341,white
9732,white
2274,white
2552,white
11619,white
11224,white
727,red
945,red
11509,white
626,red
4358,white
6534,white
12418,white
1396,red
5123,white
12662,white
2818,white
9207,white
12938,white
517,red
8225,white
13950,white
103,red
5348,white
10349,white
7146,white
9545,white
1693,red
4172,white
5897,white
5611,white
3619,white
10973,white
16,red
13669,white
11996,white
11512,white
5445,white
988,red
7810,white
8274,white
9106,white
12613,white
2344,white
149,red
7140,white
5689,white
100,red
13287,white
2346,white
2450,white
91,red
6925,white
7349,white
5174,white
6995,white
10528,white
4816,white
5878,white
9501,white
11089,white
10069,white
6782,white
8619,white
12281,white
6586,white
5232,white
4680,white
7453,white
951,red
8102,white
9729,white
5261,white
1925,red
4407,white
11152,white
12762,white
2859,white
9770,white
4856,white
1889,red
9467,white
11705,white
13930,white
12313,white
1907,red
8895,white
11808,white
12113,white
3310,white
6670,white
12911,white
2310,white
11768,white
13231,white
4395,white
7614,white
12197,white
10609,white
10752,white
11633,white
8946,white
4895,white
6050,white
2910,white
1248,red
11014,white
7382,white
4390,white
607,red
11004,white
2831,white
8738,white
2474,white
12759,white
2236,white
8446,white
8460,white
4736,white
3482,white
2089,white
7361,white
8856,white
1122,red
6681,white
12636,white
10347,white
12605,white
162,red
636,red
2754,white
9823,white
5664,white
3995,white
13194,white
5817,white
4892,white
6774,white
3109,white
9354,white
11249,white
2821,white
4174,white
4622,white
3740,white
12154,white
3169,white
6627,white
10422,white
3546,white
1151,red
3565,white
5675,white
7860,white
3578,white
11232,white
4433,white
4027,white
4635,white
3252,white
10452,white
9803,white
12489,white
5521,white
12350,white
1293,red
2015,white
1406,red
3196,white
7231,white
2609,white
4669,white
7796,white
8081,white
4001,white
12828,white
2,red
8863,white
7816,white
13439,white
11472,white
8963,white
8933,white
2317,white
13324,white
8897,white
8862,white
5683,white
4540,white
10079,white
7727,white
3270,white
12279,white
5130,white
11207,white
1225,red
5865,white
1945,red
7683,white
4277,white
8943,white
5404,white
5884,white
463,red
6749,white
9529,white
2132,white
12752,white
3958,white
5080,white
8417,white
11837,white
9318,white
10411,white
4585,white
3734,white
7066,white
6100,white
11830,white
3071,white
10042,white
9901,white
11819,white
9423,white
9301,white
1954,red
4249,white
12134,white
7105,white
6030,white
49,red
11403,white
156,red
10514,white
9783,white
11490,white
2218,white
4388,white
4244,white
2767,white
10429,white
5959,white
3185,white
7195,white
2654,white
2693,white
13398,white
8084,white
3698,white
10490,white
12457,white
5003,white
4828,white
10790,white
12159,white
13207,white
3945,white
9995,white
1939,red
9429,white
5412,white
7594,white
11478,white
9177,white
2486,white
5947,white
4721,white
542,red
6843,white
13205,white
7110,white
3631,white
5225,white
5322,white
7538,white
1975,red
6535,white
4494,white
6412,white
11059,white
5642,white
7289,white
1625,red
10277,white
10286,white
3359,white
4955,white
1488,red
868,red
8568,white
11061,white
8472,white
7078,white
981,red
5524,white
8907,white
8186,white
5345,white
9564,white
10017,white
605,red
1828,red
11565,white
3936,white
7526,white
4032,white
2813,white
4743,white
5893,white
12447,white
928,red
978,red
2983,white
12941,white
5498,white
11806,white
1078,red
10754,white
6531,white
9839,white
11229,white
7380,white
6891,white
3337,white
13818,white
3783,white
10867,white
4060,white
11858,white
9625,white
12908,white
10442,white
10313,white
3731,white
335,red
11310,white
9463,white
6275,white
9366,white
5181,white
5140,white
4778,white
7522,white
9175,white
4625,white
12370,white
9427,white
7342,white
6417,white
94,red
10570,white
13221,white
6323,white
10227,white
11338,white
2352,white
5050,white
5956,white
8665,white
9562,white
13117,white
9447,white
5486,white
3188,white
6252,white
10899,white
12012,white
601,red
3614,white
10858,white
2151,white
8947,white
11609,white
1282,red
4006,white
7561,white
9400,white
4939,white
9606,white
10015,white
197,red
9870,white
1216,red
13686,white
1217,red
5545,white
10122,white
1073,red
6604,white
5142,white
3841,white
12011,white
5497,white
8324,white
9795,white
12475,white
2101,white
11174,white
1083,red
6981,white
2750,white
9620,white
11426,white
6231,white
228,red
2041,white
